,QuollRun,Cycle,Duration,Plag,Flag,Hlag,DF,DFH,DFF,Speed,Gait,sdh,sdf,PlagM,FlagM,HlagM,GaitM,surf,cali,SpC,GaitCY,GaitCYM
1,Gale1_f1_polexypts.csv,1,48.5,0.494845361,0.041237113,0.020618557,0.627815428,0.650188679,0.605442177,975.2047741,Bound,160.5520365,169.7439691,0.556701031,0.072164948,0.051546392,Transverse Gallop,pole,1.091124426,893.7612896,Bound,Bound
2,Gale1_f1_polexypts.csv,2,60.25,0.46473029,0.149377593,0.066390041,0.663204045,0.646428571,0.679979519,906.1056655,Transverse Gallop,211.4638105,208.2217074,0.414937759,0.141078838,0.041493776,Half Bound,pole,1.091124426,830.4329405,Half Bound,Half Bound
3,Gale1_f1_polexypts.csv,3,42.25,0.520710059,0.189349112,0,0.528785569,0.475,0.582571138,1538.123823,Half Bound,256.1182895,257.7317967,0.473372781,0.118343195,0,Half Bound,pole,1.091124426,1409.668583,Half Bound,Half Bound
4,Qu1_f10_anglexypts.csv,1,39.5,0.481012658,0.126582278,0.050632911,0.485871006,0.588805503,0.382936508,2521.604322,Transverse Gallop,350.6274874,383.1903877,0.594936709,0.17721519,0.012658228,Half Bound,angle,1.409954048,1788.430145,Half Bound,Half Bound
5,Qu1_f10_anglexypts.csv,2,42.5,0.564705882,0.258823529,0.094117647,0.485111409,0.550808898,0.419413919,2365.403592,Transverse Gallop,387.4765449,363.745927,0.635294118,0.235294118,0.082352941,Transverse Gallop,angle,1.409954048,1677.645875,Half Bound,Half Bound
6,Qu1_f11_anglexypts.csv,1,40.5,0.666666667,0.074074074,0,0.457012195,0.457012195,NA,3303.811868,Half Bound,498.4953929,NA,0.592592593,0.049382716,-0.012345679,Bound,angle,1.409954048,2343.205349,Bound,Bound
7,Qu1_f12_anglexypts.csv,1,37.5,0.266666667,0.186666667,-0.026666667,0.451173542,0.513157895,0.389189189,2703.167763,Rotary Gallop,403.4111033,395.3428105,0.346666667,0.186666667,-0.026666667,Rotary Gallop,angle,1.409954048,1917.202739,Half Bound,Half Bound
8,Qu1_f13_polexypts.csv,1,57.75,0.502164502,0.173160173,0.017316017,0.653305288,0.648076923,0.658533654,1224.359304,Half Bound,306.6238556,305.3171137,0.467532468,0.112554113,0.051948052,Transverse Gallop,pole,1.380291736,887.0293666,Half Bound,Half Bound
9,Qu1_f13_polexypts.csv,2,39.75,0.377358491,0.226415094,-0.025157233,0.572165916,0.569256757,0.575075075,2020.659123,Rotary Gallop,305.0517446,277.9728756,0.41509434,0.188679245,0.050314465,Transverse Gallop,pole,1.380291736,1463.936261,Half Bound,Half Bound
10,Qu1_f13_polexypts.csv,3,35,0.514285714,0.028571429,0.057142857,0.514309764,0.5,0.521464646,2069.463086,Bound,274.4616258,281.408891,0.528571429,0,-0.014285714,Bound,pole,1.380291736,1499.293977,Bound,Bound
11,Qu1_f14_polexypts.csv,1,35.5,0.338028169,0.225352113,-0.028169014,0.561038012,0.580409357,0.541666667,2219.609816,Rotary Gallop,294.8696461,309.0255787,0.436619718,0.154929577,0.014084507,Half Bound,pole,1.380291736,1608.072959,Half Bound,Half Bound
12,Qu1_f14_polexypts.csv,2,37.75,0.476821192,0.105960265,0.026490066,0.630259592,0.638888889,0.621630295,1975.891584,Half Bound,276.9622322,275.5323715,0.463576159,0.119205298,0.052980132,Transverse Gallop,pole,1.380291736,1431.502872,Half Bound,Half Bound
